央视频道,#genre#
CCTV1,http://192.168.50.1:20231/rtp/239.21.1.120:5002
CCTV2,http://192.168.50.1:20231/rtp/239.21.1.151:5002
CCTV3,http://192.168.50.1:20231/rtp/239.21.2.45:5002
CCTV4,http://192.168.50.1:20231/rtp/239.21.1.154:5002
CCTV4欧洲,http://192.168.50.1:20231/rtp/239.21.2.28:5002
CCTV4美洲,http://192.168.50.1:20231/rtp/239.21.2.29:5002
CCTV5,http://192.168.50.1:20231/rtp/239.21.2.46:5002
CCTV5+,http://192.168.50.1:20231/rtp/239.21.1.142:5002
CCTV6,http://192.168.50.1:20231/rtp/239.21.2.47:5002
CCTV7,http://192.168.50.1:20231/rtp/239.21.1.152:5002
CCTV8,http://192.168.50.1:20231/rtp/239.21.2.48:5002
CCTV9,http://192.168.50.1:20231/rtp/239.21.1.153:5002
CCTV10,http://192.168.50.1:20231/rtp/239.21.1.155:5002
CCTV11,http://192.168.50.1:20231/rtp/239.21.2.2:5002
CCTV12,http://192.168.50.1:20231/rtp/239.21.1.156:5002
CCTV13,http://192.168.50.1:20231/rtp/239.21.2.3:5002
CCTV14,http://192.168.50.1:20231/rtp/239.21.1.157:5002
CCTV15,http://192.168.50.1:20231/rtp/239.21.2.4:5002
CCTV17,http://192.168.50.1:20231/rtp/239.21.1.186:5002
CCTV4K,http://192.168.50.1:20231/rtp/239.21.2.152:5002
CGTN,http://192.168.50.1:20231/rtp/239.21.2.30:5002
CGTN纪录,http://192.168.50.1:20231/rtp/239.21.2.31:5002
CGTN西语,http://192.168.50.1:20231/rtp/239.21.2.32:5002
CGTN法语,http://192.168.50.1:20231/rtp/239.21.2.33:5002
CGTN阿语,http://192.168.50.1:20231/rtp/239.21.2.34:5002
CGTN俄语,http://192.168.50.1:20231/rtp/239.21.2.35:5002

卫视频道,#genre#
山东卫视,http://192.168.50.1:20231/rtp/239.21.1.87:5002
北京卫视,http://192.168.50.1:20231/rtp/239.21.1.88:5002
江苏卫视,http://192.168.50.1:20231/rtp/239.21.1.89:5002
浙江卫视,http://192.168.50.1:20231/rtp/239.21.1.90:5002
黑龙江卫视,http://192.168.50.1:20231/rtp/239.21.1.91:5002
广东卫视,http://192.168.50.1:20231/rtp/239.21.1.92:5002
深圳卫视,http://192.168.50.1:20231/rtp/239.21.1.93:5002
河南卫视,http://192.168.50.1:20231/rtp/239.21.1.108:5002
河南卫视,http://192.168.50.1:20231/rtp/239.21.2.37:5002
东方卫视,http://192.168.50.1:20231/rtp/239.21.1.111:5002
东南卫视,http://192.168.50.1:20231/rtp/239.21.1.113:5002
湖南卫视,http://192.168.50.1:20231/rtp/239.21.1.158:5002
安徽卫视,http://192.168.50.1:20231/rtp/239.21.1.159:5002
湖北卫视,http://192.168.50.1:20231/rtp/239.21.1.163:5002
辽宁卫视,http://192.168.50.1:20231/rtp/239.21.1.164:5002
天津卫视,http://192.168.50.1:20231/rtp/239.21.1.165:5002
贵州卫视,http://192.168.50.1:20231/rtp/239.21.1.166:5002
江西卫视,http://192.168.50.1:20231/rtp/239.21.1.167:5002
河北卫视,http://192.168.50.1:20231/rtp/239.21.1.168:5002
重庆卫视,http://192.168.50.1:20231/rtp/239.21.1.233:5002
海南卫视,http://192.168.50.1:20231/rtp/239.21.2.14:5002
四川卫视,http://192.168.50.1:20231/rtp/239.21.2.15:5002
甘肃卫视,http://192.168.50.1:20231/rtp/239.21.2.22:5002
甘肃卫视,http://192.168.50.1:20231/rtp/239.21.2.55:5002
吉林卫视,http://192.168.50.1:20231/rtp/239.21.2.49:5002
青海卫视,http://192.168.50.1:20231/rtp/239.21.2.51:5002
青海卫视,http://192.168.50.1:20231/rtp/239.21.2.85:5002
云南卫视,http://192.168.50.1:20231/rtp/239.21.2.86:5002
广西卫视,http://192.168.50.1:20231/rtp/239.21.2.87:5002

山东频道,#genre#
山东齐鲁,http://192.168.50.1:20231/rtp/239.21.1.134:5002
山东新闻,http://192.168.50.1:20231/rtp/239.21.1.140:5002
山东体育,http://192.168.50.1:20231/rtp/239.21.1.141:5002
山东居家购物[FHD],http://192.168.50.1:20231/rtp/239.21.1.112:5002
山东教育,http://192.168.50.1:20231/rtp/239.21.1.169:5002
山东生活,http://192.168.50.1:20231/rtp/239.21.1.175:5002
山东影视,http://192.168.50.1:20231/rtp/239.21.1.176:5002
山东综艺,http://192.168.50.1:20231/rtp/239.21.1.177:5002
山东农科,http://192.168.50.1:20231/rtp/239.21.1.183:5002
山东少儿,http://192.168.50.1:20231/rtp/239.21.1.208:5002
山东经济广播,http://192.168.50.1:20231/rtp/239.21.2.148:5002
山东交通广播,http://192.168.50.1:20231/rtp/239.21.2.151:5002

其它频道,#genre#
NHKWorld,http://192.168.50.1:20231/rtp/239.21.1.98:5002
凤凰中文,http://192.168.50.1:20231/rtp/239.21.2.153:5002
中国教育1台,http://192.168.50.1:20231/rtp/239.21.2.7:5002
